Construct,Measure,Confirmatory or Exploratory?,Variable Name,Aliases,ABCD Definition
,,Confirmatory,tfmri_ma_acdn_b_scs_cdlh,"tfmri_mid_all_antic.reward.vs.neutral_beta_subcort.aseg_caudate.lh, tfmri_mid_all_anticrewardvsneutral_beta_subcortaseg_caudatelh",Beta weight for MID all anticipation of reward versus neutral contrast in ASEG ROI left-caudate
,putamen,Confirmatory,tfmri_ma_acdn_b_scs_ptrh,"tfmri_mid_all_antic.reward.vs.neutral_beta_subcort.aseg_putamen.rh, tfmri_mid_all_anticrewardvsneutral_beta_subcortaseg_putamenrh",Beta weight for MID all anticipation of reward versus neutral contrast in ASEG ROI right-putamen
,,Confirmatory,tfmri_ma_acdn_b_scs_ptlh,"tfmri_mid_all_antic.reward.vs.neutral_beta_subcort.aseg_putamen.lh, tfmri_mid_all_anticrewardvsneutral_beta_subcortaseg_putamenlh",Beta weight for MID all anticipation of reward versus neutral contrast in ASEG ROI left-putamen
,orbitofrontal cortex (medial),Confirmatory,tfmri_ma_arvn_b_cds_mobofrrh,"tfmri_mid_all_antic.reward.vs.neutral_beta_cort.desikan_medialorbitofrontal.rh, tfmri_mid_all_anticrewardvsneutral_beta_cortdesikan_medialorbitofrontalrh",Beta weight for MID all anticipation of reward versus neutral contrast in APARC ROI rh-medialorbitofrontal
,,Confirmatory,tfmri_ma_arvn_b_cds_mobofrlh,"tfmri_mid_all_antic.reward.vs.neutral_beta_cort.desikan_medialorbitofrontal.lh, tfmri_mid_all_anticrewardvsneutral_beta_cortdesikan_medialorbitofrontallh",Beta weight for MID all anticipation of reward versus neutral contrast in APARC ROI lh-medialorbitofrontal
,orbitofrontal cortex (lateral),Confirmatory,tfmri_ma_arvn_b_cds_lobofrrh,"tfmri_mid_all_antic.reward.vs.neutral_beta_cort.desikan_lateralorbitofrontal.rh, tfmri_mid_all_anticrewardvsneutral_beta_cortdesikan_lateralorbitofrontalrh",Beta weight for MID all anticipation of reward versus neutral contrast in APARC ROI rh-lateralorbitofrontal
,,Confirmatory,tfmri_ma_arvn_b_cds_lobofrlh,"tfmri_mid_all_antic.reward.vs.neutral_beta_cort.desikan_lateralorbitofrontal.lh, tfmri_mid_all_anticrewardvsneutral_beta_cortdesikan_lateralorbitofrontallh",Beta weight for MID all anticipation of reward versus neutral contrast in APARC ROI lh-lateralorbitofrontal
,Feedback stage,,,,
,nucleus accumbens,Confirmatory,tfmri_ma_rpvnfb_b_scs_aarh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_subcort.aseg_accumbens.area.rh, tfmri_mid_all_rewardposvsnegfeedback_beta_subcortaseg_accumbensarearh",Beta weight for MID all reward positive versus negative feedback contrast in ASEG ROI right-accumbens-area
,,Confirmatory,tfmri_ma_rpvnfb_b_scs_aalh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_subcort.aseg_accumbens.area.lh, tfmri_mid_all_rewardposvsnegfeedback_beta_subcortaseg_accumbensarealh",Beta weight for MID all reward positive versus negative feedback contrast in ASEG ROI left-accumbens-area
,caudate,Confirmatory,tfmri_ma_rpvnfb_b_scs_cdrh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_subcort.aseg_caudate.rh, tfmri_mid_all_rewardposvsnegfeedback_beta_subcortaseg_caudaterh",Beta weight for MID all reward positive versus negative feedback contrast in ASEG ROI right-caudate
,,Confirmatory,tfmri_ma_rpvnfb_b_scs_cdlh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_subcort.aseg_caudate.lh, tfmri_mid_all_rewardposvsnegfeedback_beta_subcortaseg_caudatelh",Beta weight for MID all reward positive versus negative feedback contrast in ASEG ROI left-caudate
,putamen,Confirmatory,tfmri_ma_rpvnfb_b_scs_ptrh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_subcort.aseg_putamen.rh, tfmri_mid_all_rewardposvsnegfeedback_beta_subcortaseg_putamenrh",Beta weight for MID all reward positive versus negative feedback contrast in ASEG ROI right-putamen
,,Confirmatory,tfmri_ma_rpvnfb_b_scs_ptlh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_subcort.aseg_putamen.lh, tfmri_mid_all_rewardposvsnegfeedback_beta_subcortaseg_putamenlh",Beta weight for MID all reward positive versus negative feedback contrast in ASEG ROI left-putamen
,orbitofrontal cortex (medial),Confirmatory,tfmri_ma_rpvnfb_b_cds_mobofrrh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.desikan_medialorbitofrontal.rh, tfmri_mid_all_rewardposvsnegfeedback_beta_cortdesikan_medialorbitofrontalrh",Beta weight for MID all reward positive versus negative feedback contrast in APARC ROI rh-medialorbitofrontal
,,Confirmatory,tfmri_ma_rpvnfb_b_cds_mobofrlh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.desikan_medialorbitofrontal.lh, tfmri_mid_all_rewardposvsnegfeedback_beta_cortdesikan_medialorbitofrontallh",Beta weight for MID all reward positive versus negative feedback contrast in APARC ROI lh-medialorbitofrontal
,orbitofrontal cortex (lateral),Confirmatory,tfmri_ma_rpvnfb_b_cds_lobofrrh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.desikan_lateralorbitofrontal.rh, tfmri_mid_all_rewardposvsnegfeedback_beta_cortdesikan_lateralorbitofrontalrh",Beta weight for MID all reward positive versus negative feedback contrast in APARC ROI rh-lateralorbitofrontal
,,Confirmatory,tfmri_ma_rpvnfb_b_cds_lobofrlh,"tfmri_mid_all_reward.pos.vs.neg.feedback_beta_cort.desikan_lateralorbitofrontal.lh, tfmri_mid_all_rewardposvsnegfeedback_beta_cortdesikan_lateralorbitofrontallh",Beta weight for MID all reward positive versus negative feedback contrast in APARC ROI lh-lateralorbitofrontal
,MRI Quality,,,,
,Include participant?,Confirmatory,imgincl_mid_include,,yes/no to include participant.
Behavioral,MID Task Reaction Time,Exploratory,tfmri_mid_all_beh_large.reward.pos.feedback_mean.rt,Tfmri_mid_all_beh_lrwpfb_mrt,Average reaction time for large reward trials with positive feedback for run 1 and run 2
,,Exploratory,tfmri_mid_all_beh_large.reward.pos.feedback_std.rt,Tfmri_mid_all_beh_lrwpfb_stdrt,Standard deviation of average reaction time for large reward trials with positive feedback run 1 and run 2
,,Exploratory,tfmri_mid_all_beh_small.reward.pos.feedback_mean.rt,Tfmri_mid_all_beh_srwpfb_mrt,Average reaction time for small reward trials with positive feedback for run 1 and run 2
,,Exploratory,tfmri_mid_all_beh_small.reward.pos.feedback_std.rt,Tfmri_mid_all_beh_srwpfb_stdrt,Standard deviation of average reaction time for small reward trials with positive feedback run 1 and run 2
,,Exploratory,tfmri_mid_all_beh_neutral.pos.feedback_mean.rt,Tfmri_mid_all_beh_ntpfb_mrt,Average reaction time for neutral trials with positive feedback for run 1 and run 2
,,Exploratory,tfmri_mid_all_beh_neutral.pos.feedback_std.rt,tfmri_mid_all_beh_ntpfb_stdrt,Standard deviation of average reaction time for neutral trials with positive feedback for run 1 and run 2
Self-report,BIS/BAS,Exploratory,bisbas_ss_basm_rr,Bis_y_ss_basm_rr,BIS/BAS: BAS Reward Responsiveness (modified): bisbas8_y + bisbas9_y + bisbas11_y + bisbas12_y
,,Exploratory,bisbas_ss_basm_rr_nm,bis_y_ss_basm_rr_nm,"BIS/BAS, BAS Reward Responsiveness (modified): Number Missing Answers"
Other,Age,Other,interview_age,age,Age in months at the time of the interview/test/sampling/imaging.
,Sex,Other,sex,gender,M = Male; F = Female; O=Other; NR = Not reported
,Participant ID,Other,subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,
,Maternal Depression,Other,fam_history_6_yes_no,,"Has ANY blood relative of your child ever suffered from depression, that is, have they felt so low for a period of at least two weeks that they hardly ate or slept or couldn't work or do whatever they usually do?"
,Maternal Depression,Other,fam_history_q6d_depression,,Biological mother
